train_condition,train_condition_label,eval_condition,eval_condition_label,eval_population_mode,seed,checkpoint,learning_gain,final_knowledge,success_rate,adaptation_accuracy,mean_episode_reward,dropout_rate
A_mixed,Mixed Population (A),A_mixed,Mixed Population (A),mixed,42,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/student_profile_A_mixed_s42/dqn_40000_steps.zip,0.4268636344090187,0.6036379926972868,0.162,0.4441754154460238,3.1689490260649853,0.0
A_mixed,Mixed Population (A),A_mixed,Mixed Population (A),mixed,7,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/student_profile_A_mixed_s7/dqn_40000_steps.zip,0.673227060575933,0.7756373461627808,0.522,0.9804570605112158,2.83305590154532,0.0
A_mixed,Mixed Population (A),A_mixed,Mixed Population (A),mixed,13,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/student_profile_A_mixed_s13/dqn_10000_steps.zip,0.5447646967211098,0.6870472486790653,0.3,0.5139062264324641,3.249518020847213,0.0
A_mixed,Mixed Population (A),A_mixed,Mixed Population (A),mixed,21,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/student_profile_A_mixed_s21/dqn_10000_steps.zip,0.6184141614300488,0.7344766885080691,0.418,0.718483542274063,3.261436572267886,0.0
A_mixed,Mixed Population (A),A_mixed,Mixed Population (A),mixed,99,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/student_profile_A_mixed_s99/dqn_10000_steps.zip,0.4913178636562328,0.6501948245252513,0.216,0.6282368813129763,3.477904878863841,0.0
A_mixed,Mixed Population (A),A_mixed,Mixed Population (A),mixed,314,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/student_profile_A_mixed_s314/dqn_40000_steps.zip,0.625677767607046,0.7380007644687284,0.466,0.7861205559659209,2.7680413755100797,0.0
B_single_canonical,Single Canonical Student (B),A_mixed,Mixed Population (A),mixed,42,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/student_profile_B_single_canonical_s42/dqn_40000_steps.zip,0.5098503776459311,0.6609671936097496,0.246,0.6701549489210724,3.4046726212467076,0.0
B_single_canonical,Single Canonical Student (B),B_single_canonical,Single Canonical Student (B),single_canonical,42,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/student_profile_B_single_canonical_s42/dqn_40000_steps.zip,0.573098767252805,0.7051609034641951,0.2,0.7015592770224383,3.39343472313176,0.0
B_single_canonical,Single Canonical Student (B),A_mixed,Mixed Population (A),mixed,7,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/student_profile_B_single_canonical_s7/dqn_50000_steps.zip,0.5956092549709567,0.7212782359422956,0.376,0.7980820808171943,3.179583953570483,0.0
B_single_canonical,Single Canonical Student (B),B_single_canonical,Single Canonical Student (B),single_canonical,7,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/student_profile_B_single_canonical_s7/dqn_50000_steps.zip,0.6389445856744849,0.7505770837102904,0.304,0.793595095198367,3.1558907217277974,0.0
B_single_canonical,Single Canonical Student (B),A_mixed,Mixed Population (A),mixed,13,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/student_profile_B_single_canonical_s13/dqn_30000_steps.zip,0.6505770338770005,0.7584805509290663,0.48,0.917381582957249,3.053584007820537,0.0
B_single_canonical,Single Canonical Student (B),B_single_canonical,Single Canonical Student (B),single_canonical,13,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/student_profile_B_single_canonical_s13/dqn_30000_steps.zip,0.7048698037015652,0.7960837454880852,0.494,0.9338599016987847,3.059365725570231,0.0
B_single_canonical,Single Canonical Student (B),A_mixed,Mixed Population (A),mixed,21,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/student_profile_B_single_canonical_s21/dqn_30000_steps.zip,0.6777059950792141,0.7789289193873753,0.532,0.8659810123390912,2.90854119948699,0.0
B_single_canonical,Single Canonical Student (B),B_single_canonical,Single Canonical Student (B),single_canonical,21,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/student_profile_B_single_canonical_s21/dqn_30000_steps.zip,0.724502461035197,0.8087425609047221,0.53,0.8746905027568207,2.9475957248450717,0.0
B_single_canonical,Single Canonical Student (B),A_mixed,Mixed Population (A),mixed,99,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/student_profile_B_single_canonical_s99/dqn_20000_steps.zip,0.5554137610067523,0.6946079209563725,0.286,0.7169795761163773,3.2803477322782766,0.0
B_single_canonical,Single Canonical Student (B),B_single_canonical,Single Canonical Student (B),single_canonical,99,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/student_profile_B_single_canonical_s99/dqn_20000_steps.zip,0.6039942922207822,0.7274854143838604,0.244,0.7167844915394843,3.2886517498515273,0.0
B_single_canonical,Single Canonical Student (B),A_mixed,Mixed Population (A),mixed,314,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/student_profile_B_single_canonical_s314/dqn_40000_steps.zip,0.5628370425798155,0.6920547894328115,0.366,0.6879889320214179,3.1711356900115044,0.0
B_single_canonical,Single Canonical Student (B),B_single_canonical,Single Canonical Student (B),single_canonical,314,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/student_profile_B_single_canonical_s314/dqn_40000_steps.zip,0.601188458548917,0.7174744580238162,0.322,0.6981998592562781,3.1514505714776613,0.0
C_low_variance,Low Variance Population (C),A_mixed,Mixed Population (A),mixed,42,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/student_profile_C_low_variance_s42/dqn_10000_steps.zip,0.5272062815523422,0.671689562112288,0.234,0.633647592420333,3.3459911943730334,0.0
C_low_variance,Low Variance Population (C),C_low_variance,Low Variance Population (C),low_variance,42,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/student_profile_C_low_variance_s42/dqn_10000_steps.zip,0.5959932542281348,0.719175692228023,0.232,0.6631936323537699,3.3254793033386685,0.0
C_low_variance,Low Variance Population (C),A_mixed,Mixed Population (A),mixed,7,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/student_profile_C_low_variance_s7/dqn_50000_steps.zip,0.6013564646291494,0.7258296043066118,0.374,0.8047518354525878,3.1725161363043104,0.0
C_low_variance,Low Variance Population (C),C_low_variance,Low Variance Population (C),low_variance,7,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/student_profile_C_low_variance_s7/dqn_50000_steps.zip,0.6385489694272753,0.752258919040941,0.298,0.7936632335628067,3.176478064575341,0.0
C_low_variance,Low Variance Population (C),A_mixed,Mixed Population (A),mixed,13,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/student_profile_C_low_variance_s13/dqn_10000_steps.zip,0.6588723645647758,0.7647220585306759,0.496,0.9148698175074,2.9626989783496382,0.0
C_low_variance,Low Variance Population (C),C_low_variance,Low Variance Population (C),low_variance,13,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/student_profile_C_low_variance_s13/dqn_10000_steps.zip,0.721917052846509,0.807092605624477,0.556,0.948297452285608,2.980090796082594,0.0
C_low_variance,Low Variance Population (C),A_mixed,Mixed Population (A),mixed,21,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/student_profile_C_low_variance_s21/dqn_10000_steps.zip,0.6479155735823332,0.756345561441236,0.48,0.8071982592116312,3.1992300370760276,0.0
C_low_variance,Low Variance Population (C),C_low_variance,Low Variance Population (C),low_variance,21,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/student_profile_C_low_variance_s21/dqn_10000_steps.zip,0.6909027378278881,0.7842869215060149,0.436,0.8066851480271298,3.1967116379282112,0.0
C_low_variance,Low Variance Population (C),A_mixed,Mixed Population (A),mixed,99,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/student_profile_C_low_variance_s99/dqn_10000_steps.zip,0.4012716036427024,0.5910038946341827,0.162,0.4561613089575202,3.3253055747370137,0.0
C_low_variance,Low Variance Population (C),C_low_variance,Low Variance Population (C),low_variance,99,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/student_profile_C_low_variance_s99/dqn_10000_steps.zip,0.4791117633857893,0.6419993667047286,0.118,0.4904653987571061,3.3265627272365954,0.0
C_low_variance,Low Variance Population (C),A_mixed,Mixed Population (A),mixed,314,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/student_profile_C_low_variance_s314/dqn_40000_steps.zip,0.3577767283519463,0.5569726556998348,0.068,0.2770052224371374,3.1638641102839262,0.0
