condition,condition_label,population_mode,seed,train_timesteps,eval_episodes,use_checkpoints,selection,val_learning_gain,gain_ratio,elapsed_seconds,learning_gain,final_knowledge,success_rate,adaptation_accuracy,mean_episode_reward,dropout_rate,action_entropy,actions_used_above_1_percent,dominance_detected,freq_hint,freq_scaffold,freq_encouragement,freq_simplify_problem,freq_harder_problem,freq_break,freq_explanation,freq_no_action
A_mixed,Mixed Population (A),mixed,42,50000,500,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/student_profile_A_mixed_s42/dqn_40000_steps.zip,0.3910355877997246,10:1,28.4,0.4268636344090187,0.6036379926972868,0.162,0.44417541544602385,3.1689490260649853,0.0,1.6339450401537146,6,False,0.0,0.135682,0.133953,0.205855,0.306832,0.0,0.023203,0.194475
A_mixed,Mixed Population (A),mixed,7,50000,500,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/student_profile_A_mixed_s7/dqn_40000_steps.zip,0.664495514726417,10:1,27.5,0.673227060575933,0.7756373461627808,0.522,0.9804570605112158,2.83305590154532,0.0,0.734725156431962,3,False,0.000248,0.319609,0.013655,0.001903,0.660322,4.1e-05,0.0,0.004221
A_mixed,Mixed Population (A),mixed,13,50000,500,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/student_profile_A_mixed_s13/dqn_10000_steps.zip,0.5591340921695582,10:1,27.6,0.5447646967211098,0.6870472486790653,0.3,0.5139062264324641,3.249518020847213,0.0,1.6013348164377506,7,False,0.035871,0.299399,0.179559,0.0,0.213049,0.023121,0.236412,0.012589
A_mixed,Mixed Population (A),mixed,21,50000,500,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/student_profile_A_mixed_s21/dqn_10000_steps.zip,0.5828639054536867,10:1,27.7,0.6184141614300488,0.7344766885080691,0.418,0.718483542274063,3.261436572267886,0.0,1.3282970761972652,4,False,0.152761,0.380842,0.001957,0.007789,0.336025,0.0,0.120341,0.000285
A_mixed,Mixed Population (A),mixed,99,50000,500,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/student_profile_A_mixed_s99/dqn_10000_steps.zip,0.49760358331563737,10:1,27.7,0.4913178636562328,0.6501948245252513,0.216,0.6282368813129763,3.477904878863841,0.0,1.2503732498654068,4,False,8e-05,0.292001,0.0,0.325008,0.336131,0.004658,0.0,0.042122
A_mixed,Mixed Population (A),mixed,314,50000,500,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/student_profile_A_mixed_s314/dqn_40000_steps.zip,0.6588006901981455,10:1,27.6,0.625677767607046,0.7380007644687284,0.466,0.7861205559659209,2.7680413755100797,0.0,1.1203574359004487,4,False,0.174593,0.217794,0.0,0.008885,0.565595,0.031503,0.0,0.00163
B_single_canonical,Single Canonical Student (B),single_canonical,42,50000,500,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/student_profile_B_single_canonical_s42/dqn_40000_steps.zip,0.5634798614515119,10:1,29.4,0.573098767252805,0.7051609034641951,0.2,0.7015592770224383,3.39343472313176,0.0,1.4198257818533242,6,False,0.002684,0.492107,0.015144,0.08766,0.209495,0.103045,0.0,0.089864
B_single_canonical,Single Canonical Student (B),single_canonical,7,50000,500,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/student_profile_B_single_canonical_s7/dqn_50000_steps.zip,0.6255822780505155,10:1,29.3,0.6389445856744849,0.7505770837102904,0.304,0.793595095198367,3.1558907217277974,0.0,1.087882314501205,3,False,0.00125,0.369911,0.200959,0.004717,0.423164,0.0,0.0,0.0
B_single_canonical,Single Canonical Student (B),single_canonical,13,50000,500,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/student_profile_B_single_canonical_s13/dqn_30000_steps.zip,0.708727186044586,10:1,29.5,0.7048698037015652,0.7960837454880852,0.494,0.9338599016987849,3.059365725570231,0.0,0.9429021706626968,4,False,0.0,0.442605,0.017728,0.044928,0.490771,0.003967,0.0,0.0
B_single_canonical,Single Canonical Student (B),single_canonical,21,50000,500,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/student_profile_B_single_canonical_s21/dqn_30000_steps.zip,0.7087087651633586,10:1,29.3,0.724502461035197,0.8087425609047221,0.53,0.8746905027568207,2.9475957248450717,0.0,0.9192282529023205,3,False,0.000121,0.270461,0.0,0.001214,0.609123,0.0,0.118959,0.000121
B_single_canonical,Single Canonical Student (B),single_canonical,99,50000,500,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/student_profile_B_single_canonical_s99/dqn_20000_steps.zip,0.6157252058725255,10:1,29.6,0.6039942922207822,0.7274854143838604,0.244,0.7167844915394843,3.2886517498515273,0.0,1.171835370169616,4,False,0.0,0.446165,0.250883,0.032413,0.270539,0.0,0.0,0.0
B_single_canonical,Single Canonical Student (B),single_canonical,314,50000,500,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/student_profile_B_single_canonical_s314/dqn_40000_steps.zip,0.6564496156655636,10:1,29.4,0.601188458548917,0.7174744580238162,0.322,0.6981998592562781,3.1514505714776613,0.0,1.372386288920385,5,False,0.048316,0.225902,0.131075,0.120569,0.471812,0.002326,0.0,0.0
C_low_variance,Low Variance Population (C),low_variance,42,50000,500,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/student_profile_C_low_variance_s42/dqn_10000_steps.zip,0.574586078792297,10:1,30.4,0.5959932542281348,0.719175692228023,0.232,0.6631936323537699,3.3254793033386685,0.0,1.469884837691799,5,False,0.0,0.34815,0.00493,0.164776,0.315123,0.00012,0.078881,0.08802
C_low_variance,Low Variance Population (C),low_variance,7,50000,500,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/student_profile_C_low_variance_s7/dqn_50000_steps.zip,0.6262776794919571,10:1,30.4,0.6385489694272753,0.752258919040941,0.298,0.7936632335628067,3.176478064575341,0.0,1.0733840419779772,3,False,0.000645,0.414305,0.204209,0.0,0.379107,0.001613,0.000121,0.0
C_low_variance,Low Variance Population (C),low_variance,13,50000,500,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/student_profile_C_low_variance_s13/dqn_10000_steps.zip,0.7229262301797793,10:1,30.5,0.721917052846509,0.807092605624477,0.556,0.9482974522856079,2.980090796082594,0.0,0.8621283297738784,5,False,0.010552,0.322119,0.022971,0.0,0.627151,0.0,0.017208,0.0
C_low_variance,Low Variance Population (C),low_variance,21,50000,500,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/student_profile_C_low_variance_s21/dqn_10000_steps.zip,0.6798065258189497,10:1,30.4,0.6909027378278881,0.7842869215060149,0.436,0.8066851480271298,3.1967116379282112,0.0,1.176076164427286,4,False,0.064333,0.391301,8.1e-05,4e-05,0.41578,0.000405,0.12806,0.0
C_low_variance,Low Variance Population (C),low_variance,99,50000,500,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/student_profile_C_low_variance_s99/dqn_10000_steps.zip,0.4927750092991372,10:1,30.5,0.4791117633857893,0.6419993667047286,0.118,0.4904653987571061,3.3265627272365954,0.0,1.4114545654060433,5,False,0.0,0.171461,0.012539,0.272775,0.318684,0.0,0.0,0.224541
