configuration,configuration_label,diversity_mode,diversity_amount,seed,irt_beta,train_timesteps,eval_episodes,use_checkpoints,selection,val_learning_gain,gain_ratio,elapsed_seconds,learning_gain,final_knowledge,success_rate,adaptation_accuracy,mean_episode_reward,dropout_rate,shannon_entropy,actions_used_above_1_percent,actions_used_above_5_percent,dominant_action_pct,top2_actions_pct,dominance_detected,hint,scaffold,encouragement,simplify_problem,harder_problem,break,explanation,no_action
A_baseline,Baseline Reward (A),,0.0,42,3.0,50000,500,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/action_diversity_A_baseline_s42/dqn_40000_steps.zip,0.3910355877997246,10:1,26.3,0.4268636344090187,0.6036379926972868,0.162,0.4441754154460238,3.1689490260649853,0.0,1.6339450401537146,6,5,0.3068323480918486,0.5126874974866289,False,0.0,0.135682,0.133953,0.205855,0.306832,0.0,0.023203,0.194475
A_baseline,Baseline Reward (A),,0.0,7,3.0,50000,500,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/action_diversity_A_baseline_s7/dqn_40000_steps.zip,0.664495514726417,10:1,25.5,0.673227060575933,0.7756373461627808,0.522,0.9804570605112158,2.83305590154532,0.0,0.734725156431962,3,2,0.6603219265941159,0.979931311292258,False,0.000248,0.319609,0.013655,0.001903,0.660322,4.1e-05,0.0,0.004221
A_baseline,Baseline Reward (A),,0.0,13,3.0,50000,500,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/action_diversity_A_baseline_s13/dqn_10000_steps.zip,0.5591340921695582,10:1,25.3,0.5447646967211098,0.6870472486790653,0.3,0.5139062264324641,3.249518020847213,0.0,1.6013348164377506,7,4,0.2993987814227494,0.5358108380744866,False,0.035871,0.299399,0.179559,0.0,0.213049,0.023121,0.236412,0.012589
A_baseline,Baseline Reward (A),,0.0,21,3.0,50000,500,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/action_diversity_A_baseline_s21/dqn_10000_steps.zip,0.5828639054536867,10:1,26.2,0.6184141614300488,0.7344766885080691,0.418,0.718483542274063,3.261436572267886,0.0,1.3282970761972652,4,4,0.3808416931734769,0.7168664872359514,False,0.152761,0.380842,0.001957,0.007789,0.336025,0.0,0.120341,0.000285
A_baseline,Baseline Reward (A),,0.0,99,3.0,50000,500,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/action_diversity_A_baseline_s99/dqn_10000_steps.zip,0.4976035833156373,10:1,27.9,0.4913178636562328,0.6501948245252513,0.216,0.6282368813129763,3.477904878863841,0.0,1.2503732498654068,4,3,0.3361307420494699,0.6611387728878895,False,8e-05,0.292001,0.0,0.325008,0.336131,0.004658,0.0,0.042122
A_baseline,Baseline Reward (A),,0.0,314,3.0,50000,500,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/action_diversity_A_baseline_s314/dqn_40000_steps.zip,0.6588006901981455,10:1,25.4,0.625677767607046,0.7380007644687284,0.466,0.7861205559659209,2.7680413755100797,0.0,1.120357435900449,4,3,0.5655948159921751,0.7833883522843054,False,0.174593,0.217794,0.0,0.008885,0.565595,0.031503,0.0,0.00163
B_diversity_bonus,Diversity Bonus +0.02 (B),bonus,0.02,42,3.0,50000,500,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/action_diversity_B_diversity_bonus_s42/dqn_10000_steps.zip,0.4397581499710051,10:1,25.6,0.4706064199189128,0.6326612846284922,0.188,0.6258182430339,3.4328866057523397,0.0,1.3154436571295742,5,4,0.3358490566037735,0.6366920915295062,False,0.0,0.335849,0.059133,0.300843,0.290807,0.000281,0.000522,0.012565
B_diversity_bonus,Diversity Bonus +0.02 (B),bonus,0.02,7,3.0,50000,500,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/action_diversity_B_diversity_bonus_s7/dqn_50000_steps.zip,0.4147120163391469,10:1,25.8,0.4283857236415779,0.6075813331403406,0.13,0.5425478105871211,3.4322847446678817,0.0,1.3586449352789796,5,4,0.4223141159466838,0.680865585354103,False,0.0,0.422314,0.003814,0.181909,0.120002,0.000281,0.258551,0.013128
B_diversity_bonus,Diversity Bonus +0.02 (B),bonus,0.02,13,3.0,50000,500,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/action_diversity_B_diversity_bonus_s13/dqn_50000_steps.zip,0.5772334654508202,10:1,25.9,0.571092309880743,0.7083146403907208,0.312,0.6389859363200594,3.151190904959112,0.0,1.34445419908023,4,4,0.3993469848435988,0.6386649467913577,False,0.0,0.239318,0.1302,0.225451,0.399347,0.002096,0.000403,0.003184
B_diversity_bonus,Diversity Bonus +0.02 (B),bonus,0.02,21,3.0,50000,500,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/action_diversity_B_diversity_bonus_s21/dqn_10000_steps.zip,0.4966991446910098,10:1,26.1,0.5336320159670613,0.6768281557149372,0.274,0.5845060245372189,3.613396356420101,0.0,1.3746395936903395,5,5,0.5003235984143678,0.7151524957527708,False,0.096635,0.500324,0.098859,0.0,0.082841,0.004449,0.214829,0.002063
B_diversity_bonus,Diversity Bonus +0.02 (B),bonus,0.02,99,3.0,50000,500,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/action_diversity_B_diversity_bonus_s99/dqn_10000_steps.zip,0.5470541233732165,10:1,25.8,0.5427571535970206,0.6873321224607615,0.292,0.6519332661801277,3.4334159906005017,0.0,1.2277647426175824,4,3,0.3761504924915227,0.6821814952365575,False,0.0,0.275109,0.001938,0.306031,0.37615,0.0,0.0,0.040772
B_diversity_bonus,Diversity Bonus +0.02 (B),bonus,0.02,314,3.0,50000,500,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/action_diversity_B_diversity_bonus_s314/dqn_40000_steps.zip,0.6922074102981867,10:1,26.0,0.6756699804067345,0.7751868078645284,0.534,0.985159205306212,2.846019128645236,0.0,0.6940652553630633,3,2,0.674386022746003,0.9847947914949728,False,0.000206,0.310409,0.014917,0.0,0.674386,0.0,0.0,8.2e-05
C_strong_diversity_bonus,Strong Diversity Bonus +0.05 (C),bonus,0.05,42,3.0,50000,500,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/action_diversity_C_strong_diversity_bonus_s42/dqn_20000_steps.zip,0.6031249968955216,10:1,25.6,0.6274802171611342,0.7431310837972144,0.406,0.8612981824662456,2.9893127105038677,0.0,1.1457452900164606,5,4,0.4744463025655667,0.8598931353754538,False,0.0,0.385447,0.028633,0.060325,0.474446,0.000204,0.0,0.050944
C_strong_diversity_bonus,Strong Diversity Bonus +0.05 (C),bonus,0.05,7,3.0,50000,500,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/action_diversity_C_strong_diversity_bonus_s7/dqn_50000_steps.zip,0.5336247531721285,10:1,25.7,0.5511357233829879,0.6920316219391979,0.292,0.511539716917201,3.438269897125412,0.0,1.4723046160960966,6,4,0.381715438950555,0.6956609485368315,False,0.009324,0.381715,0.114551,0.0,0.129405,0.017275,0.313946,0.033784
C_strong_diversity_bonus,Strong Diversity Bonus +0.05 (C),bonus,0.05,13,3.0,50000,500,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/action_diversity_C_strong_diversity_bonus_s13/dqn_20000_steps.zip,0.5034104341757171,10:1,25.5,0.5008410291138609,0.6577819737109878,0.256,0.5876206658026754,3.5409482836294535,0.0,1.413871626558552,5,5,0.4868547998070429,0.6436324167872649,False,0.0,0.486855,0.139331,0.000925,0.100217,0.002372,0.156778,0.113523
C_strong_diversity_bonus,Strong Diversity Bonus +0.05 (C),bonus,0.05,21,3.0,50000,500,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/action_diversity_C_strong_diversity_bonus_s21/dqn_10000_steps.zip,0.60664600221429,10:1,26.0,0.6437952494071578,0.7547372728112967,0.458,0.718930676564576,3.2778519036710407,0.0,1.2270021091144905,4,4,0.4302904225811715,0.7189998368412466,False,0.060287,0.43029,0.000122,0.0,0.288709,0.0,0.220387,0.000204
C_strong_diversity_bonus,Strong Diversity Bonus +0.05 (C),bonus,0.05,99,3.0,50000,500,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/action_diversity_C_strong_diversity_bonus_s99/dqn_50000_steps.zip,0.3566725059209019,10:1,25.5,0.3494018058376202,0.5521833703170305,0.06,0.2557381968269251,3.4664167556170216,0.0,1.5347058116406176,5,4,0.3140121775356513,0.5632911392405063,False,0.0,0.249279,0.226526,0.04887,0.009213,0.149976,0.314012,0.002123
C_strong_diversity_bonus,Strong Diversity Bonus +0.05 (C),bonus,0.05,314,3.0,50000,500,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/action_diversity_C_strong_diversity_bonus_s314/dqn_40000_steps.zip,0.6263984846991005,10:1,25.5,0.5943044382427176,0.7173798041778423,0.392,0.6392515871495404,3.14257460684033,0.0,1.2864670536299634,4,4,0.4433859443749243,0.717474670003633,False,0.0,0.195455,0.007629,0.274089,0.443386,0.076172,0.0,0.00327
D_repetition_penalty,Repetition Penalty -0.02 (D),penalty,0.02,42,3.0,50000,500,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/action_diversity_D_repetition_penalty_s42/dqn_10000_steps.zip,0.5346095464013798,10:1,25.8,0.5659316677966506,0.7006690341148021,0.288,0.6823535618006394,3.2635512690498683,0.0,1.421898282647006,5,5,0.4870493454179255,0.6819335347432024,False,0.0,0.487049,0.103404,0.008499,0.194884,0.001974,0.094502,0.109688
D_repetition_penalty,Repetition Penalty -0.02 (D),penalty,0.02,7,3.0,50000,500,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/action_diversity_D_repetition_penalty_s7/dqn_30000_steps.zip,0.5143763779401485,10:1,25.8,0.5292378717454126,0.6755820650805422,0.276,0.6292824129300147,3.1979813554539387,0.0,1.441112535829307,6,4,0.3719264356714556,0.6276711336472293,False,0.023582,0.371926,0.015614,0.076583,0.255745,0.252123,0.002093,0.002334
