configuration,configuration_label,seed,train_timesteps,eval_episodes,use_checkpoints,selection,val_learning_gain,gain_ratio,elapsed_seconds,learning_gain,final_knowledge,success_rate,adaptation_accuracy,mean_episode_reward,dropout_rate,action_entropy,actions_used_above_1_percent,actions_used_above_5_percent,dominant_action_pct,top2_actions_pct,dominance_detected,freq_hint,freq_scaffold,freq_encouragement,freq_simplify_problem,freq_harder_problem,freq_break,freq_explanation,freq_no_action
A_current_gains,Current Gains (A),42,50000,500,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/action_gain_A_current_gains_s42/dqn_40000_steps.zip,0.3910355877997246,10:1,26.7,0.4268636344090187,0.6036379926972868,0.162,0.4441754154460238,3.1689490260649853,0.0,1.6339450401537146,6,5,0.3068323480918486,0.5126874974866289,False,0.0,0.135682,0.133953,0.205855,0.306832,0.0,0.023203,0.194475
A_current_gains,Current Gains (A),7,50000,500,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/action_gain_A_current_gains_s7/dqn_40000_steps.zip,0.664495514726417,10:1,25.2,0.673227060575933,0.7756373461627808,0.522,0.9804570605112158,2.83305590154532,0.0,0.734725156431962,3,2,0.6603219265941159,0.979931311292258,False,0.000248,0.319609,0.013655,0.001903,0.660322,4.1e-05,0.0,0.004221
A_current_gains,Current Gains (A),13,50000,500,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/action_gain_A_current_gains_s13/dqn_10000_steps.zip,0.5591340921695582,10:1,26.4,0.5447646967211098,0.6870472486790653,0.3,0.5139062264324641,3.249518020847213,0.0,1.6013348164377506,7,4,0.2993987814227494,0.5358108380744866,False,0.035871,0.299399,0.179559,0.0,0.213049,0.023121,0.236412,0.012589
A_current_gains,Current Gains (A),21,50000,500,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/action_gain_A_current_gains_s21/dqn_10000_steps.zip,0.5828639054536867,10:1,26.6,0.6184141614300488,0.7344766885080691,0.418,0.718483542274063,3.261436572267886,0.0,1.3282970761972652,4,4,0.3808416931734769,0.7168664872359514,False,0.152761,0.380842,0.001957,0.007789,0.336025,0.0,0.120341,0.000285
A_current_gains,Current Gains (A),99,50000,500,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/action_gain_A_current_gains_s99/dqn_10000_steps.zip,0.4976035833156373,10:1,26.5,0.4913178636562328,0.6501948245252513,0.216,0.6282368813129763,3.477904878863841,0.0,1.2503732498654068,4,3,0.3361307420494699,0.6611387728878895,False,8e-05,0.292001,0.0,0.325008,0.336131,0.004658,0.0,0.042122
A_current_gains,Current Gains (A),314,50000,500,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/action_gain_A_current_gains_s314/dqn_40000_steps.zip,0.6588006901981455,10:1,26.9,0.625677767607046,0.7380007644687284,0.466,0.7861205559659209,2.7680413755100797,0.0,1.120357435900449,4,3,0.5655948159921751,0.7833883522843054,False,0.174593,0.217794,0.0,0.008885,0.565595,0.031503,0.0,0.00163
B_nearly_equal_gains,Nearly Equal Gains (B),42,50000,500,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/action_gain_B_nearly_equal_gains_s42/dqn_40000_steps.zip,0.5191285828604643,10:1,26.1,0.5504635095401138,0.6859439635959075,0.34,0.5368628778452114,2.9641112280300943,0.0,1.6248121181488764,6,5,0.3527429244325334,0.5754253461647785,False,0.015917,0.179721,0.125228,0.009745,0.352743,0.08848,0.222682,0.005482
B_nearly_equal_gains,Nearly Equal Gains (B),7,50000,500,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/action_gain_B_nearly_equal_gains_s7/dqn_40000_steps.zip,0.4526512246696474,10:1,26.5,0.4617214726255119,0.6331021506981476,0.118,0.4089361848072562,3.34599086823614,0.0,1.2321633132810847,4,3,0.4075173492719323,0.776324762325003,False,0.368807,0.407517,0.006378,0.002046,0.001925,0.0,0.046572,0.166754
B_nearly_equal_gains,Nearly Equal Gains (B),13,50000,500,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/action_gain_B_nearly_equal_gains_s13/dqn_40000_steps.zip,0.647035282169874,10:1,26.5,0.6428882843398976,0.7556531423887194,0.458,0.8690258310076547,2.6393324120790114,0.0,0.7614464253423576,4,2,0.6903530561550678,0.9622510893024392,False,0.000122,0.271898,0.018854,0.01861,0.690353,0.0,0.0,0.000163
B_nearly_equal_gains,Nearly Equal Gains (B),21,50000,500,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/action_gain_B_nearly_equal_gains_s21/dqn_10000_steps.zip,0.6284503366809002,10:1,26.6,0.6602051039632963,0.7664081475146267,0.462,0.7867417739785455,2.9150552003719987,0.0,1.1120854951768668,4,4,0.5474422778820266,0.803418454760545,False,0.052093,0.255976,0.0,0.0,0.547442,0.0,0.144489,0.0
